9312	528520364	XM_001337519	XM_001337519.3	7955
6980	528492902	XM_001920721	XM_001920721.2	7955
6980	30230940	AL953903	AL953903.8	7955
6980	30230940	AL953903	AL953903.8	7955
6980	30230940	AL953903	AL953903.8	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	528492946	XM_002663629	XM_002663629.2	7955
6980	528492942	XM_001342096	XM_001342096.3	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	528492904	XR_084325	XR_084325.2	7955
6980	528492954	XM_002663633	XM_002663633.2	7955
6980	125828377	XM_001342220	XM_001342220.1	7955
6980	528492944	XM_002663628	XM_002663628.2	7955
9288	528503771	XM_003200181	XM_003200181.2	7955
21336	94384518	CR396590	CR396590.9	7955
21336	94384518	CR396590	CR396590.9	7955
21336	528492954	XM_002663633	XM_002663633.2	7955
21336	528492902	XM_001920721	XM_001920721.2	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	30230940	AL953903	AL953903.8	7955
21336	30230940	AL953903	AL953903.8	7955
21336	30230940	AL953903	AL953903.8	7955
21336	528492904	XR_084325	XR_084325.2	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	528492942	XM_001342096	XM_001342096.3	7955
21336	528492946	XM_002663629	XM_002663629.2	7955
21336	528492944	XM_002663628	XM_002663628.2	7955
21336	125828377	XM_001342220	XM_001342220.1	7955
10271	94384518	CR396590	CR396590.9	7955
64	94384518	CR396590	CR396590.9	7955
18416	94384518	CR396590	CR396590.9	7955
20460	112806935	CR848005	CR848005.12	7955
20460	38348684	BX255896	BX255896.4	7955
20460	50724666	BX769173	BX769173.6	7955
26759	94384518	CR396590	CR396590.9	7955
25057	94384518	CR396590	CR396590.9	7955
10233	94384518	CR396590	CR396590.9	7955
10233	94384518	CR396590	CR396590.9	7955
10233	528492902	XM_001920721	XM_001920721.2	7955
10233	30230940	AL953903	AL953903.8	7955
10233	30230940	AL953903	AL953903.8	7955
10233	30230940	AL953903	AL953903.8	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	528492946	XM_002663629	XM_002663629.2	7955
10233	528492942	XM_001342096	XM_001342096.3	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	528492904	XR_084325	XR_084325.2	7955
10233	528492954	XM_002663633	XM_002663633.2	7955
10233	125828377	XM_001342220	XM_001342220.1	7955
10233	528492944	XM_002663628	XM_002663628.2	7955
29894	528496696	XM_005156416	XM_005156416.1	7955
29894	528496694	XM_005156415	XM_005156415.1	7955
29894	528496692	XM_005156414	XM_005156414.1	7955
29894	528496690	XM_005156413	XM_005156413.1	7955
29894	528496688	XM_005156412	XM_005156412.1	7955
29894	528496686	XM_005156411	XM_005156411.1	7955
29894	528496684	XM_005156410	XM_005156410.1	7955
29894	528496682	XM_005156409	XM_005156409.1	7955
29894	528496680	XM_005156408	XM_005156408.1	7955
29894	123705280	NM_001080602	NM_001080602.1	7955
29894	54019889	BX324004	BX324004.6	7955
29894	37650837	AL954339	AL954339.10	7955
29894	375176437	JN718727	JN718727.1	7962
15932	528503116	XR_222327	XR_222327.1	7955
15932	77681143	CR848788	CR848788.7	7955
29968	94384518	CR396590	CR396590.9	7955
28456	528490658	XM_684944	XM_684944.5	7955
28456	41016257	BX321915	BX321915.3	7955
28456	84452586	BX001051	BX001051.29	7955
5325	94384518	CR396590	CR396590.9	7955
20825	94384518	CR396590	CR396590.9	7955
82	578838588	XM_003960079	XM_003960079.3	9606
82	424898691	NG_007153	NG_007153.4	9606
82	406362884	AC253567	AC253567.1	9606
82	392996963	AC234783	AC234783.5	9606
82	392996963	AC234783	AC234783.5	9606
82	257153514	AC234782	AC234782.5	9606
82	121495926	AC196550	AC196550.1	9606
82	1235540	Z70227	Z70227.1	9606
82	410046215	XM_001164778	XM_001164778.3	9598
82	397481202	XM_003811794	XM_003811794.1	9597
82	182888310	BC160067	BC160067.1	32630
82	35186893	AY317075	AY317075.1	9606
82	52426759	NM_199286	NM_199286.2	9606
82	426371495	XM_004052634	XM_004052634.1	9595
82	300797240	NG_023379	NG_023379.1	9606
82	297691019	XM_002822851	XM_002822851.1	9601
82	115528928	BC125145	BC125145.1	9606
82	38382979	BC062480	BC062480.1	9606
82	37921164	AY230136	AY230136.1	9606
82	13928035	AL137226	AL137226.3	9606
82	397501100	XR_157265	XR_157265.1	9597
82	332842407	XR_020407	XR_020407.2	9598
82	441642195	XM_003279848	XM_003279848.2	61853
82	402867675	XM_003897915	XM_003897915.1	9555
82	402885027	XM_003905920	XM_003905920.1	9555
82	349501115	NG_029216	NG_029216.2	9606
82	25446662	AC021646	AC021646.35	9606
82	16603968	AC006517	AC006517.46	9606
7983	578838588	XM_003960079	XM_003960079.3	9606
7983	424898691	NG_007153	NG_007153.4	9606
7983	406362884	AC253567	AC253567.1	9606
7983	392996963	AC234783	AC234783.5	9606
7983	392996963	AC234783	AC234783.5	9606
7983	257153514	AC234782	AC234782.5	9606
7983	121495926	AC196550	AC196550.1	9606
7983	1235540	Z70227	Z70227.1	9606
7983	426371495	XM_004052634	XM_004052634.1	9595
7983	410046215	XM_001164778	XM_001164778.3	9598
7983	397481202	XM_003811794	XM_003811794.1	9597
7983	300797240	NG_023379	NG_023379.1	9606
7983	182888310	BC160067	BC160067.1	32630
7983	115528928	BC125145	BC125145.1	9606
7983	38382979	BC062480	BC062480.1	9606
7983	37921164	AY230136	AY230136.1	9606
7983	35186893	AY317075	AY317075.1	9606
7983	52426759	NM_199286	NM_199286.2	9606
7983	13928035	AL137226	AL137226.3	9606
7983	397501100	XR_157265	XR_157265.1	9597
7983	332842407	XR_020407	XR_020407.2	9598
3928	578838588	XM_003960079	XM_003960079.3	9606
3928	424898691	NG_007153	NG_007153.4	9606
3928	406362884	AC253567	AC253567.1	9606
3928	392996963	AC234783	AC234783.5	9606
3928	392996963	AC234783	AC234783.5	9606
3928	257153514	AC234782	AC234782.5	9606
3928	121495926	AC196550	AC196550.1	9606
3928	1235540	Z70227	Z70227.1	9606
3928	297691019	XM_002822851	XM_002822851.1	9601
3928	441642195	XM_003279848	XM_003279848.2	61853
3928	297262341	XM_001111317	XM_001111317.2	9544
3928	544467958	XM_005570022	XM_005570022.1	9541
3928	402867675	XM_003897915	XM_003897915.1	9555
3928	109095456	XM_001112679	XM_001112679.1	9544
3928	402885027	XM_003905920	XM_003905920.1	9555
20231	578838588	XM_003960079	XM_003960079.3	9606
20231	424898691	NG_007153	NG_007153.4	9606
20231	406362884	AC253567	AC253567.1	9606
20231	392996963	AC234783	AC234783.5	9606
20231	392996963	AC234783	AC234783.5	9606
20231	257153514	AC234782	AC234782.5	9606
20231	121495926	AC196550	AC196550.1	9606
20231	22507447	BC019900	BC019900.1	9606
20231	1235540	Z70227	Z70227.1	9606
20231	426396924	XM_004064631	XM_004064631.1	9595
20231	426371495	XM_004052634	XM_004052634.1	9595
20231	410046215	XM_001164778	XM_001164778.3	9598
20231	397481202	XM_003811794	XM_003811794.1	9597
20231	182888310	BC160067	BC160067.1	32630
20231	35186893	AY317075	AY317075.1	9606
20231	52426759	NM_199286	NM_199286.2	9606
20231	16603968	AC006517	AC006517.46	9606
20231	397501100	XR_157265	XR_157265.1	9597
20231	332842407	XR_020407	XR_020407.2	9598
20231	297691019	XM_002822851	XM_002822851.1	9601
13244	578838588	XM_003960079	XM_003960079.3	9606
13244	424898691	NG_007153	NG_007153.4	9606
13244	406362884	AC253567	AC253567.1	9606
13244	392996963	AC234783	AC234783.5	9606
13244	392996963	AC234783	AC234783.5	9606
13244	257153514	AC234782	AC234782.5	9606
13244	121495926	AC196550	AC196550.1	9606
13244	1235540	Z70227	Z70227.1	9606
13244	426371495	XM_004052634	XM_004052634.1	9595
13244	410046215	XM_001164778	XM_001164778.3	9598
13244	397481202	XM_003811794	XM_003811794.1	9597
13244	300797240	NG_023379	NG_023379.1	9606
13244	182888310	BC160067	BC160067.1	32630
13244	115528928	BC125145	BC125145.1	9606
13244	38382979	BC062480	BC062480.1	9606
13244	37921164	AY230136	AY230136.1	9606
13244	35186893	AY317075	AY317075.1	9606
13244	52426759	NM_199286	NM_199286.2	9606
13244	13928035	AL137226	AL137226.3	9606
13244	397501100	XR_157265	XR_157265.1	9597
13244	332842407	XR_020407	XR_020407.2	9598
13244	297691019	XM_002822851	XM_002822851.1	9601
13244	441642195	XM_003279848	XM_003279848.2	61853
13244	441670232	XM_003273796	XM_003273796.2	61853
13244	349501115	NG_029216	NG_029216.2	9606
13244	25446662	AC021646	AC021646.35	9606
13244	402867675	XM_003897915	XM_003897915.1	9555
13244	402885027	XM_003905920	XM_003905920.1	9555
13244	544467958	XM_005570022	XM_005570022.1	9541
13244	109095456	XM_001112679	XM_001112679.1	9544
13244	16603968	AC006517	AC006517.46	9606
15937	578838588	XM_003960079	XM_003960079.3	9606
15937	424898691	NG_007153	NG_007153.4	9606
15937	406362884	AC253567	AC253567.1	9606
15937	392996963	AC234783	AC234783.5	9606
15937	392996963	AC234783	AC234783.5	9606
15937	257153514	AC234782	AC234782.5	9606
15937	121495926	AC196550	AC196550.1	9606
15937	1235540	Z70227	Z70227.1	9606
15937	426371495	XM_004052634	XM_004052634.1	9595
15937	410046215	XM_001164778	XM_001164778.3	9598
15937	397481202	XM_003811794	XM_003811794.1	9597
15937	300797240	NG_023379	NG_023379.1	9606
15937	182888310	BC160067	BC160067.1	32630
15937	115528928	BC125145	BC125145.1	9606
15937	38382979	BC062480	BC062480.1	9606
15937	37921164	AY230136	AY230136.1	9606
15937	35186893	AY317075	AY317075.1	9606
15937	52426759	NM_199286	NM_199286.2	9606
15937	13928035	AL137226	AL137226.3	9606
15937	397501100	XR_157265	XR_157265.1	9597
15937	332842407	XR_020407	XR_020407.2	9598
15937	297691019	XM_002822851	XM_002822851.1	9601
15937	441642195	XM_003279848	XM_003279848.2	61853
15937	441670232	XM_003273796	XM_003273796.2	61853
15937	402867675	XM_003897915	XM_003897915.1	9555
15937	402885027	XM_003905920	XM_003905920.1	9555
15937	544467958	XM_005570022	XM_005570022.1	9541
15937	109095456	XM_001112679	XM_001112679.1	9544
15937	16603968	AC006517	AC006517.46	9606
10139	83318690	CT009635	CT009635.18	10090
10139	57863218	AC154679	AC154679.2	10090
10139	532042915	XM_005364230	XM_005364230.1	79684
10139	133893139	NM_024254	NM_024254.3	10090
10139	15214556	BC012402	BC012402.1	10090
10139	13096839	BC003216	BC003216.1	10090
10139	74220288	AK152570	AK152570.1	10090
10139	74219818	AK168639	AK168639.1	10090
10139	74193289	AK151464	AK151464.1	10090
10139	74181338	AK150905	AK150905.1	10090
10139	26331753	AK036861	AK036861.1	10090
10139	12846253	AK010654	AK010654.1	10090
10139	51593582	BC080661	BC080661.1	10090
10139	564342251	XM_006234712	XM_006234712.1	10116
10139	172354613	NM_001109645	NM_001109645.2	10116
10139	524921123	XM_005064776	XM_005064776.1	10036
10139	354482903	XM_003503587	XM_003503587.1	10029
10139	403267690	XM_003925899	XM_003925899.1	39432
10139	298916388	FQ219931	FQ219931.1	10116
10139	23894529	AL683897	AL683897.5	10090
10139	544442279	XM_005559082	XM_005559082.1	9541
10139	544442277	XM_005559081	XM_005559081.1	9541
10139	426378508	XM_004065331	XM_004065331.1	9595
10139	426354834	XR_174965	XR_174965.1	9595
10139	402873860	XM_003900723	XM_003900723.1	9555
10139	397466510	XM_003804950	XM_003804950.1	9597
10139	390468778	XM_002753585	XM_002753585.2	9483
10139	332247373	XM_003272785	XM_003272785.1	61853
10139	297696222	XM_002825257	XM_002825257.1	9601
10139	194688139	NM_024713	NM_024713.2	9606
10139	168743994	CU693167	CU693167.1	32630
10139	158262056	NR_003954	NR_003954.1	9606
10139	158259502	AK293021	AK293021.1	9606
10139	117645889	AM393535	AM393535.1	32630
10139	114656155	XM_001165269	XM_001165269.1	9598
10139	45709624	BC067801	BC067801.1	9606
10139	11182157	AL138916	AL138916.14	9606
10139	10438985	AK026210	AK026210.1	9606
10139	83404924	BC111000	BC111000.1	9606
10139	21734278	AL833631	AL833631.1	9606
10139	20072804	BC026234	BC026234.1	9606
10139	12053310	AL136908	AL136908.1	9606
10139	545196059	XM_005603167	XM_005603167.1	9796
10139	507578150	XM_004672540	XM_004672540.1	51337
10139	505828571	XM_004609537	XM_004609537.1	42254
10139	504130958	XM_004578209	XM_004578209.1	9978
10139	478494157	XM_004421370	XM_004421370.1	73337
10139	472390260	XM_004414387	XM_004414387.1	9708
10139	395837620	XM_003791681	XM_003791681.1	30611
10139	332825176	XR_022405	XR_022405.2	9598
10139	594665554	XM_007180823	XM_007180823.1	310752
10139	593744851	XM_007127723	XM_007127723.1	9755
10139	593744849	XM_007127722	XM_007127722.1	9755
10139	586531364	XM_006920527	XM_006920527.1	9402
10139	560937287	XM_006194388	XM_006194388.1	419612
10139	513000026	XM_004861494	XM_004861494.1	10181
10139	512923044	XM_004904824	XM_004904824.1	10181
10139	507963473	XM_004687953	XM_004687953.1	143302
10139	470596409	XM_004310933	XM_004310933.1	9739
10139	466029934	XM_004274041	XM_004274041.1	9733
10139	530406450	XM_005254668	XM_005254668.1	9606
10139	24414566	AC079203	AC079203.9	9606
10139	578827399	XM_006720684	XM_006720684.1	9606
10139	530406448	XM_005254667	XM_005254667.1	9606
10139	530406446	XM_005254666	XM_005254666.1	9606
10139	591322933	XM_007087499	XM_007087499.1	74533
10139	586989365	XM_003987306	XM_003987306.2	9685
10139	562821399	XM_006140550	XM_006140550.1	246437
10139	562821397	XM_006140549	XM_006140549.1	246437
10139	562821395	XM_006140548	XM_006140548.1	246437
10139	548482244	XM_005685452	XM_005685452.1	9925
10139	533132406	XM_005381162	XM_005381162.1	34839
10139	533132404	XM_005381161	XM_005381161.1	34839
10139	533132402	XM_005381160	XM_005381160.1	34839
10139	533132400	XM_005381159	XM_005381159.1	34839
10139	532103190	XM_005337141	XM_005337141.1	43179
10139	426242225	XM_004014926	XM_004014926.1	9940
10139	426232919	XM_004010418	XM_004010418.1	9940
10139	301779677	XM_002925208	XM_002925208.1	9646
10139	507689988	XM_004712739	XM_004712739.1	9371
10139	403289322	XM_003935760	XM_003935760.1	39432
10139	594064110	XM_006056012	XM_006056012.1	89462
10139	594048754	XM_006048703	XM_006048703.1	89462
10139	584039266	XM_006778177	XM_006778177.1	225400
10139	558119418	XM_006087477	XM_006087477.1	59463
10139	556776549	XM_005983313	XM_005983313.1	59538
10139	556748770	XM_005969765	XM_005969765.1	59538
10139	556742002	XM_005966467	XM_005966467.1	59538
10139	555960888	XM_005892483	XM_005892483.1	72004
10139	554588926	XM_005885755	XM_005885755.1	109478
10139	514471856	XM_003475657	XM_003475657.2	10141
10139	507695521	XM_004643128	XM_004643128.1	10160
10139	312261279	NM_001199064	NM_001199064.1	9913
10139	298358204	NG_021880	NG_021880.1	9606
10139	291403308	XM_002718010	XM_002718010.1	9986
10139	291402369	XM_002717502	XM_002717502.1	9986
10139	16303417	AC091903	AC091903.2	9606
10139	591349778	XM_007069369	XM_007069369.1	8469
10139	530634184	XM_005303987	XM_005303987.1	8478
10139	530634182	XM_005303986	XM_005303986.1	8478
26147	133893139	NM_024254	NM_024254.3	10090
26147	15214556	BC012402	BC012402.1	10090
26147	13096839	BC003216	BC003216.1	10090
26147	74219818	AK168639	AK168639.1	10090
26147	74193289	AK151464	AK151464.1	10090
26147	74181338	AK150905	AK150905.1	10090
26147	26331753	AK036861	AK036861.1	10090
26147	12846253	AK010654	AK010654.1	10090
26147	83318690	CT009635	CT009635.18	10090
26147	57863218	AC154679	AC154679.2	10090
26147	51593582	BC080661	BC080661.1	10090
26147	74220288	AK152570	AK152570.1	10090
26147	564342251	XM_006234712	XM_006234712.1	10116
26147	172354613	NM_001109645	NM_001109645.2	10116
26147	23894529	AL683897	AL683897.5	10090
20459	83318690	CT009635	CT009635.18	10090
20459	57863218	AC154679	AC154679.2	10090
20459	133893139	NM_024254	NM_024254.3	10090
20459	15214556	BC012402	BC012402.1	10090
20459	13096839	BC003216	BC003216.1	10090
20459	74219818	AK168639	AK168639.1	10090
20459	74193289	AK151464	AK151464.1	10090
20459	74181338	AK150905	AK150905.1	10090
20459	26331753	AK036861	AK036861.1	10090
20459	12846253	AK010654	AK010654.1	10090
20459	51593582	BC080661	BC080661.1	10090
20459	564342251	XM_006234712	XM_006234712.1	10116
20459	172354613	NM_001109645	NM_001109645.2	10116
20459	354482903	XM_003503587	XM_003503587.1	10029
20459	589960284	XM_006992658	XM_006992658.1	230844
20459	532042915	XM_005364230	XM_005364230.1	79684
20459	524921123	XM_005064776	XM_005064776.1	10036
20459	23894529	AL683897	AL683897.5	10090
7514	83318690	CT009635	CT009635.18	10090
7514	57863218	AC154679	AC154679.2	10090
7514	532042915	XM_005364230	XM_005364230.1	79684
7514	133893139	NM_024254	NM_024254.3	10090
7514	15214556	BC012402	BC012402.1	10090
7514	13096839	BC003216	BC003216.1	10090
7514	74220288	AK152570	AK152570.1	10090
7514	74219818	AK168639	AK168639.1	10090
7514	74193289	AK151464	AK151464.1	10090
7514	74181338	AK150905	AK150905.1	10090
7514	26331753	AK036861	AK036861.1	10090
7514	12846253	AK010654	AK010654.1	10090
7514	51593582	BC080661	BC080661.1	10090
7514	544442279	XM_005559082	XM_005559082.1	9541
7514	544442277	XM_005559081	XM_005559081.1	9541
7514	504130958	XM_004578209	XM_004578209.1	9978
7514	426378508	XM_004065331	XM_004065331.1	9595
7514	426354834	XR_174965	XR_174965.1	9595
7514	402873860	XM_003900723	XM_003900723.1	9555
7514	397466510	XM_003804950	XM_003804950.1	9597
7514	390468778	XM_002753585	XM_002753585.2	9483
7514	332247373	XM_003272785	XM_003272785.1	61853
7514	194688139	NM_024713	NM_024713.2	9606
7514	168743994	CU693167	CU693167.1	32630
7514	158262056	NR_003954	NR_003954.1	9606
7514	158259502	AK293021	AK293021.1	9606
7514	117645889	AM393535	AM393535.1	32630
7514	114656155	XM_001165269	XM_001165269.1	9598
7514	45709624	BC067801	BC067801.1	9606
7514	11182157	AL138916	AL138916.14	9606
7514	10438985	AK026210	AK026210.1	9606
7514	83404924	BC111000	BC111000.1	9606
7514	21734278	AL833631	AL833631.1	9606
7514	20072804	BC026234	BC026234.1	9606
7514	12053310	AL136908	AL136908.1	9606
7514	524921123	XM_005064776	XM_005064776.1	10036
7514	564342251	XM_006234712	XM_006234712.1	10116
7514	507578150	XM_004672540	XM_004672540.1	51337
7514	478494157	XM_004421370	XM_004421370.1	73337
7514	472390260	XM_004414387	XM_004414387.1	9708
7514	354482903	XM_003503587	XM_003503587.1	10029
7514	332825176	XR_022405	XR_022405.2	9598
7514	298916388	FQ219931	FQ219931.1	10116
7514	297696222	XM_002825257	XM_002825257.1	9601
7514	172354613	NM_001109645	NM_001109645.2	10116
7514	594665554	XM_007180823	XM_007180823.1	310752
7514	593744851	XM_007127723	XM_007127723.1	9755
7514	593744849	XM_007127722	XM_007127722.1	9755
7514	586531364	XM_006920527	XM_006920527.1	9402
7514	560937287	XM_006194388	XM_006194388.1	419612
7514	548482244	XM_005685452	XM_005685452.1	9925
7514	545196059	XM_005603167	XM_005603167.1	9796
7514	507963473	XM_004687953	XM_004687953.1	143302
7514	505828571	XM_004609537	XM_004609537.1	42254
7514	470596409	XM_004310933	XM_004310933.1	9739
7514	466029934	XM_004274041	XM_004274041.1	9733
7514	426242225	XM_004014926	XM_004014926.1	9940
7514	426232919	XM_004010418	XM_004010418.1	9940
7514	403267690	XM_003925899	XM_003925899.1	39432
7514	395837620	XM_003791681	XM_003791681.1	30611
7514	301779677	XM_002925208	XM_002925208.1	9646
7514	513000026	XM_004861494	XM_004861494.1	10181
7514	512923044	XM_004904824	XM_004904824.1	10181
7514	594064110	XM_006056012	XM_006056012.1	89462
7514	594048754	XM_006048703	XM_006048703.1	89462
7514	556776549	XM_005983313	XM_005983313.1	59538
7514	556748770	XM_005969765	XM_005969765.1	59538
7514	556742002	XM_005966467	XM_005966467.1	59538
7514	555960888	XM_005892483	XM_005892483.1	72004
7514	532103190	XM_005337141	XM_005337141.1	43179
7514	312261279	NM_001199064	NM_001199064.1	9913
7514	291403308	XM_002718010	XM_002718010.1	9986
7514	291402369	XM_002717502	XM_002717502.1	9986
7514	591322933	XM_007087499	XM_007087499.1	74533
7514	586989365	XM_003987306	XM_003987306.2	9685
7514	584039266	XM_006778177	XM_006778177.1	225400
7514	558119418	XM_006087477	XM_006087477.1	59463
7514	554588926	XM_005885755	XM_005885755.1	109478
7514	533132406	XM_005381162	XM_005381162.1	34839
7514	533132404	XM_005381161	XM_005381161.1	34839
7514	533132402	XM_005381160	XM_005381160.1	34839
7514	533132400	XM_005381159	XM_005381159.1	34839
7514	344293947	XM_003418633	XM_003418633.1	9785
7514	586447383	XM_006831813	XM_006831813.1	185453
7514	562821399	XM_006140550	XM_006140550.1	246437
7514	562821397	XM_006140549	XM_006140549.1	246437
7514	562821395	XM_006140548	XM_006140548.1	246437
7514	507695521	XM_004643128	XM_004643128.1	10160
7514	488527166	XM_004455348	XM_004455348.1	9361
7514	514471856	XM_003475657	XM_003475657.2	10141
7514	514705428	XM_005009768	XM_005009768.1	8839
7514	514705426	XM_005009767	XM_005009767.1	8839
7514	558188389	XM_006102816	XM_006102816.1	59463
7514	298358204	NG_021880	NG_021880.1	9606
7514	16303417	AC091903	AC091903.2	9606
7514	23894529	AL683897	AL683897.5	10090
7514	543722641	XM_005502442	XM_005502442.1	8932
7514	541976543	XM_005441081	XM_005441081.1	345164
7514	530634184	XM_005303987	XM_005303987.1	8478
7514	530634182	XM_005303986	XM_005303986.1	8478
23233	568997713	XM_006523115	XM_006523115.1	10090
23233	568997711	XM_006523114	XM_006523114.1	10090
23233	568997709	XM_006523113	XM_006523113.1	10090
23233	219519343	BC145265	BC145265.1	10090
23233	157057181	NM_001103179	NM_001103179.1	10090
23233	157057179	NM_145125	NM_145125.3	10090
23233	14970592	AJ292468	AJ292468.1	10090
23233	14970590	AJ292467	AJ292467.1	10090
23233	163256095	AP004392	AP004392.1	10090
23233	45237305	AC144797	AC144797.2	10090
23233	66841692	AC152502	AC152502.5	10090
23233	532001742	XM_005345146	XM_005345146.1	79684
29825	83318690	CT009635	CT009635.18	10090
29825	57863218	AC154679	AC154679.2	10090
29825	133893139	NM_024254	NM_024254.3	10090
29825	15214556	BC012402	BC012402.1	10090
29825	13096839	BC003216	BC003216.1	10090
29825	74220288	AK152570	AK152570.1	10090
29825	74219818	AK168639	AK168639.1	10090
29825	74193289	AK151464	AK151464.1	10090
29825	74181338	AK150905	AK150905.1	10090
29825	26331753	AK036861	AK036861.1	10090
29825	12846253	AK010654	AK010654.1	10090
29825	51593582	BC080661	BC080661.1	10090
29825	564342251	XM_006234712	XM_006234712.1	10116
29825	172354613	NM_001109645	NM_001109645.2	10116
29825	532042915	XM_005364230	XM_005364230.1	79684
29825	524921123	XM_005064776	XM_005064776.1	10036
29825	23894529	AL683897	AL683897.5	10090
18440	133893139	NM_024254	NM_024254.3	10090
18440	15214556	BC012402	BC012402.1	10090
18440	13096839	BC003216	BC003216.1	10090
18440	74219818	AK168639	AK168639.1	10090
18440	74193289	AK151464	AK151464.1	10090
18440	74181338	AK150905	AK150905.1	10090
18440	26331753	AK036861	AK036861.1	10090
18440	12846253	AK010654	AK010654.1	10090
18440	83318690	CT009635	CT009635.18	10090
18440	57863218	AC154679	AC154679.2	10090
18440	51593582	BC080661	BC080661.1	10090
18440	74220288	AK152570	AK152570.1	10090
18440	564342251	XM_006234712	XM_006234712.1	10116
18440	172354613	NM_001109645	NM_001109645.2	10116
18440	23894529	AL683897	AL683897.5	10090
18440	354482903	XM_003503587	XM_003503587.1	10029
18440	589960284	XM_006992658	XM_006992658.1	230844
18440	524921123	XM_005064776	XM_005064776.1	10036
18440	507695521	XM_004643128	XM_004643128.1	10160
18440	507578150	XM_004672540	XM_004672540.1	51337
